Task Name,Due Date,Status,Assigned To,Pipeline Results,Related Project,Project Name,Project Status,Pipeline Jinja,Task Tags,Notes,Estimated Hours,Date Completed,Project - TargetDate,Date Created,Date Modified,Record ID#,Record Owner,Last Modified By
3 hr 30 min,11-06-2026 03:00 PM,Open,,,3,Training Documentation Refresh,On Hold,,"November,Reporting,Finance",Confirm totals before publishing.,3.5,11-06-2026 06:30 PM,12-15-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,31,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
2 hr,11-08-2026 09:00 AM,Open,,,2,Application Review Project,Active,,"november,data,validation",lowercase task name is intentional,,11-08-2026 11:00 AM,11-30-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,32,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
0 hr,11-12-2026 12:00 PM,Open,,,2,Application Review Project,Active,,"November,Reporting,Package",,5,11-12-2026 12:00 PM,11-30-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,33,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
15 min,11-03-2026 08:30 AM,On Hold,Darian Ross <63578510.bjcc>,,3,Training Documentation Refresh,On Hold,,"November,Reporting,Checklist",Waiting on final reporting requirements.,,11-03-2026 08:45 AM,12-15-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,34,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
2 hr — crosses midnight,10-28-2026 11:00 PM,Open,Darian Ross <63578510.bjcc>,,2,Application Review Project,Active,,"Applications,Review,Pending",Extra internal spaces in Task Name are intentional.,,10-29-2026 01:00 AM,11-30-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,35,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
3 hr 1 min,10-30-2026 08:00 AM,Open,Dariansweb Yahoo <69063939.b4i6>,,1,November Reporting Cycle,Active,,"Applications,Notices,Email",,,10-30-2026 11:01 AM,11-15-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,36,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
2 hr 59 min,11-02-2026 02:00 PM,On Hold,,,3,Training Documentation Refresh,On Hold,,"Applications,Exceptions,Review",UPPERCASE task name is intentional.,,11-02-2026 04:59 PM,12-15-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,37,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
exactly 3 hr,11-15-2026 01:00 PM,Open,Darian Ross <63578510.bjcc>,,4,Monthly Administrative Work,Active,,"Training,Pipeline,Jinja",Add Lesson 17 examples.,,11-15-2026 04:00 PM,12-31-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,38,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
45 min,11-20-2026 07:15 AM,Open,Darian Ross <63578510.bjcc>,,1,November Reporting Cycle,Active,,"Training,Quickbase,Publish",,,11-20-2026 08:00 AM,11-15-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,39,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
5 hr,10-15-2026 10:00 AM,Complete,Dariansweb G Gmail <61267378.b6qh>,,1,November Reporting Cycle,Active,,"Training,Legacy,Cleanup",Hyphen and punctuation are intentional.,,10-15-2026 03:00 PM,11-15-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,40,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
4 hr,11-25-2026 10:30 AM,Open,Dariansweb G Gmail <61267378.b6qh>,,4,Monthly Administrative Work,Active,,"Monthly,Administrative,Records",Requires two source reports.,,11-25-2026 02:30 PM,12-31-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,41,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
intentionally missing,09-05-2026 06:00 AM,Complete,Dariansweb G Gmail <61267378.b6qh>,,2,Application Review Project,Active,,"August,Archive,Monthly",,,,11-30-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,42,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
3 hr 1 min — crosses midnight,11-18-2026 11:30 PM,Open,,,4,Monthly Administrative Work,Active,,"Automation,EdgeCase,Zero",Estimated Hours is deliberately zero.,0,11-19-2026 02:31 AM,12-31-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,43,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
intentionally incomplete,11-22-2026 04:00 PM,Open,Darian Ross <63578510.bjcc>,,2,Application Review Project,Active,,"Assignment,EdgeCase,Blank",,,,11-30-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,44,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
intentionally incomplete,12-01-2026 09:00 AM,On Hold,Dariansweb G Gmail <61267378.b6qh>,,1,November Reporting Cycle,Active,,"Jinja,Case,Punctuation",Mixed CASE and punctuation are intentional.,2.75,,11-15-2026,09-17-2026 09:14 AM,09-18-2026 03:26 PM,45,Darian Ross <63578510.bjcc>,Darian Ross <63578510.bjcc>
